condition,finetune_size,mean_ssim,sd_ssim,n_patients,sem_ssim,ci95_low,ci95_high
pretrained,5,0.27117673246159135,0.06676143976587114,20,0.01492831175922455,0.24191724141351123,0.3004362235096715
scratch,5,0.1586183890589445,0.027342283550391873,20,0.006113920467875052,0.14663510494190937,0.1706016731759796
pretrained,10,0.2816057350047615,0.06912956233646489,20,0.015457840063914468,0.2513083684794891,0.31190310153003387
scratch,10,0.15810744828276732,0.02831241440445194,20,0.006330848321549876,0.14569898557252955,0.1705159109930051
pretrained,20,0.28076372778377867,0.06915101763962386,20,0.015462637615548601,0.2504569580573034,0.31107049751025395
scratch,20,0.15907232968986482,0.02917520420502103,20,0.006523773985986473,0.14628573267733133,0.1718589267023983
pretrained,50,0.2789896222332676,0.06604129078107224,20,0.01476728155083077,0.2500457503936393,0.30793349407289594
scratch,50,0.15714124167981394,0.030140304004823936,20,0.006739576861729547,0.14393167103082402,0.17035081232880386
pretrained,100,0.2797038537996271,0.06660997226560625,20,0.014894442596527124,0.2505107463104339,0.30889696128882027
scratch,100,0.1583365975185873,0.029065112850604827,20,0.0064991568107655075,0.1455982501694869,0.1710749448676877
pretrained,200,0.2796893503613298,0.0657390923917092,20,0.0146997079367001,0.2508779228053976,0.308500777917262
scratch,200,0.15769883120625747,0.02985480251760017,20,0.006675736788418584,0.14461438710095703,0.1707832753115579
