patient_id,condition,finetune_size,seed,ssim_mean,ssim_sd,n_eval_images
80,pretrained,5,0,0.29180530289063167,0.08525173230194286,20
80,pretrained,5,1,0.2836193340007244,0.07664192341921498,20
80,pretrained,5,2,0.2921476345137945,0.06583539435922878,20
80,pretrained,5,3,0.3233280547643771,0.07256369193028081,20
80,pretrained,5,4,0.27704402239574866,0.06385653072885152,20
80,pretrained,10,0,0.30565113515679093,0.07762270830194219,20
80,pretrained,10,1,0.31847904624630596,0.07073841641938758,20
80,pretrained,10,2,0.297402408875869,0.08497965440269871,20
80,pretrained,10,3,0.31798915275924017,0.07565798283310107,20
80,pretrained,10,4,0.3116469445332923,0.07691521487628884,20
80,pretrained,20,0,0.32470291038110655,0.06807592461103754,20
80,pretrained,20,1,0.30933481541099483,0.08234092693136243,20
80,pretrained,20,2,0.3190180416438003,0.07119716592987432,20
80,pretrained,20,3,0.3218921906535006,0.0687597253356978,20
80,pretrained,20,4,0.3020715679484537,0.06884541881345374,20
80,pretrained,50,0,0.3069659497715084,0.06854006304599927,20
80,pretrained,50,1,0.3161361913828276,0.06636904282263084,20
80,pretrained,50,2,0.3312948536616157,0.07179480959145047,20
80,pretrained,50,3,0.310932105451983,0.07451734441559056,20
80,pretrained,50,4,0.3225483932424914,0.06475949931069777,20
80,pretrained,100,0,0.3102328953382326,0.0638383785606394,20
80,pretrained,100,1,0.32692694622190793,0.07336485577329191,20
80,pretrained,100,2,0.3164354771687621,0.07242490858706178,20
80,pretrained,100,3,0.318923493488615,0.05900720590316468,20
80,pretrained,100,4,0.3166830935431329,0.06479915856502727,20
80,pretrained,200,0,0.3115655262126438,0.06424734071455669,20
80,pretrained,200,1,0.31009730536338853,0.061724123215231644,20
80,pretrained,200,2,0.31981536935700383,0.06288567932086454,20
80,pretrained,200,3,0.31590212205754814,0.06415155445218908,20
80,pretrained,200,4,0.3160488154206685,0.06418809315773906,20
80,scratch,5,0,0.20049904181371025,0.07617708226783182,20
80,scratch,5,1,0.1756744464471824,0.06282151701506414,20
80,scratch,5,2,0.18624962179411714,0.058841533220557275,20
80,scratch,5,3,0.20040689651997398,0.06595195470880119,20
80,scratch,5,4,0.19252551529532175,0.0639935194668255,20
80,scratch,10,0,0.1871851972027265,0.06253131690668147,20
80,scratch,10,1,0.19423169807803115,0.06623343114065204,20
80,scratch,10,2,0.18087100403563122,0.0726572278142178,20
80,scratch,10,3,0.1767737793776189,0.06936319494728957,20
80,scratch,10,4,0.197247644071074,0.07880778781511036,20
80,scratch,20,0,0.1974596214095681,0.07105084565560545,20
80,scratch,20,1,0.19258301612518486,0.07578670013799949,20
80,scratch,20,2,0.19520321368514815,0.05864392290632466,20
80,scratch,20,3,0.19547355118377485,0.06147504622492615,20
80,scratch,20,4,0.21085203167075436,0.08866474772355953,20
80,scratch,50,0,0.19459180755273278,0.07126742281282109,20
80,scratch,50,1,0.19158398676168714,0.07282087728015764,20
80,scratch,50,2,0.19455247859131436,0.06659329395069227,20
80,scratch,50,3,0.19097235795976214,0.07465033996087787,20
80,scratch,50,4,0.19123110905977667,0.05667684397770948,20
80,scratch,100,0,0.19908570119517185,0.0696055373259995,20
80,scratch,100,1,0.19554167547068305,0.06652048093815646,20
80,scratch,100,2,0.1946386349939207,0.06789735356848638,20
80,scratch,100,3,0.19130258364769465,0.07066213142367272,20
80,scratch,100,4,0.19457336715303378,0.062478422872183824,20
80,scratch,200,0,0.19301706995217993,0.06474810158620437,20
80,scratch,200,1,0.18971532509474018,0.06498056871422386,20
80,scratch,200,2,0.19223166179535497,0.06679258584140599,20
80,scratch,200,3,0.19572754208927878,0.0698681203316725,20
80,scratch,200,4,0.19621578170660664,0.06655234331424167,20
81,pretrained,5,0,0.32147517145374527,0.0963843411684961,20
81,pretrained,5,1,0.32249680079021953,0.10785082774740187,20
81,pretrained,5,2,0.33159071172862303,0.10552792089320914,20
81,pretrained,5,3,0.31192111115066906,0.1078297173634312,20
81,pretrained,5,4,0.33247495900812873,0.08990903106199806,20
81,pretrained,10,0,0.3496933128753563,0.0944505872471473,20
81,pretrained,10,1,0.3327744838542857,0.11655994989398465,20
81,pretrained,10,2,0.3233951263447025,0.09157366884010636,20
81,pretrained,10,3,0.34370544305637085,0.1015333330494577,20
81,pretrained,10,4,0.33221854121731986,0.10038036719435378,20
81,pretrained,20,0,0.3376508117162159,0.09316609145067194,20
81,pretrained,20,1,0.33375504890599067,0.09531515218323178,20
81,pretrained,20,2,0.3381280384010137,0.09825766906436562,20
81,pretrained,20,3,0.3427753084484561,0.09669690064111737,20
81,pretrained,20,4,0.3312462822298624,0.09951054749032505,20
81,pretrained,50,0,0.3413346504688669,0.10526897603150129,20
81,pretrained,50,1,0.33092443742966265,0.09974468183362205,20
81,pretrained,50,2,0.3365890168225133,0.10275222083982144,20
81,pretrained,50,3,0.3313488036861141,0.10296978691671513,20
81,pretrained,50,4,0.3389272735153435,0.10681736326100243,20
81,pretrained,100,0,0.3440922641527655,0.09836508467865271,20
81,pretrained,100,1,0.33636843358880897,0.09224753010626253,20
81,pretrained,100,2,0.3354727566968241,0.09179637175698906,20
81,pretrained,100,3,0.3486999613156131,0.10603480789881534,20
81,pretrained,100,4,0.33573509851028416,0.10132180535683245,20
81,pretrained,200,0,0.33100266787297505,0.09766912078351708,20
81,pretrained,200,1,0.3426712173582168,0.097754502493699,20
81,pretrained,200,2,0.3436725014874401,0.09510363178767801,20
81,pretrained,200,3,0.33665997452682184,0.09983831058502045,20
81,pretrained,200,4,0.33932001967879566,0.10344175476012268,20
81,scratch,5,0,0.12081752620423951,0.05789923519725184,20
81,scratch,5,1,0.18313596641186,0.10140204474289255,20
81,scratch,5,2,0.18871017434315837,0.07479527126024005,20
81,scratch,5,3,0.13834256755193225,0.09129670118223436,20
81,scratch,5,4,0.1593999532697626,0.06490117879352322,20
81,scratch,10,0,0.18274038305906276,0.07764932905735115,20
81,scratch,10,1,0.17711543287222015,0.10776429274573641,20
81,scratch,10,2,0.15173558151259958,0.07348144442299445,20
81,scratch,10,3,0.1535046645813441,0.05995039553791557,20
81,scratch,10,4,0.18013420277459935,0.07594328147387507,20
81,scratch,20,0,0.16224862847370475,0.07278226064235344,20
81,scratch,20,1,0.17821427205540516,0.07962045160696858,20
81,scratch,20,2,0.18640945847833973,0.0821742576425917,20
81,scratch,20,3,0.16207944287380058,0.07751711613025775,20
81,scratch,20,4,0.15573789144839986,0.08200681467414572,20
81,scratch,50,0,0.1667410760692931,0.08475970787312842,20
81,scratch,50,1,0.1690118461600039,0.08686621567268167,20
81,scratch,50,2,0.19439117912435736,0.09207536690328662,20
81,scratch,50,3,0.16478095411692736,0.08214104871745896,20
81,scratch,50,4,0.16971985621361688,0.0940811449912207,20
81,scratch,100,0,0.16972292096608804,0.08722633690433115,20
81,scratch,100,1,0.1707394596177056,0.08618142263197938,20
81,scratch,100,2,0.1786525886551628,0.08616636089001196,20
81,scratch,100,3,0.17447325066035774,0.08384601080098165,20
81,scratch,100,4,0.17541432404247254,0.08106767841869714,20
81,scratch,200,0,0.1584614996415834,0.0798556749747743,20
81,scratch,200,1,0.16930123029626354,0.06923173062807077,20
81,scratch,200,2,0.17240532220320182,0.0887395160161751,20
81,scratch,200,3,0.1643890871940278,0.08486363860108315,20
81,scratch,200,4,0.17282082870349877,0.08067631012831551,20
82,pretrained,5,0,0.2974294488933026,0.07253903722472917,20
82,pretrained,5,1,0.3049082972347822,0.08006168923989038,20
82,pretrained,5,2,0.3101197418713653,0.06103181475918488,20
82,pretrained,5,3,0.2722432143586308,0.07704003424891218,20
82,pretrained,5,4,0.3223537206750792,0.07292226631826278,20
82,pretrained,10,0,0.28065250219731214,0.07084874016264146,20
82,pretrained,10,1,0.28516582755504455,0.06508313905558674,20
82,pretrained,10,2,0.32046124493515876,0.07038964001542554,20
82,pretrained,10,3,0.28399224851853655,0.0779723368642244,20
82,pretrained,10,4,0.33228621398963515,0.07648708772505335,20
82,pretrained,20,0,0.2947456923490846,0.06797946778577231,20
82,pretrained,20,1,0.2952067657787555,0.061609650473552734,20
82,pretrained,20,2,0.31014839092955643,0.06115560097057255,20
82,pretrained,20,3,0.3110114321844985,0.06383372819268535,20
82,pretrained,20,4,0.2780077743399881,0.054895099159812874,20
82,pretrained,50,0,0.2894690299381175,0.06291721258971983,20
82,pretrained,50,1,0.2990685993041635,0.06145015445618563,20
82,pretrained,50,2,0.2943534786333338,0.06537980516329447,20
82,pretrained,50,3,0.2836545615262587,0.06738913337469453,20
82,pretrained,50,4,0.28304132403257387,0.07726237781994914,20
82,pretrained,100,0,0.2940440166906141,0.06091130716733474,20
82,pretrained,100,1,0.29707566586780665,0.055885976899925034,20
82,pretrained,100,2,0.29739654642249297,0.06299918076939127,20
82,pretrained,100,3,0.2796073800292277,0.07565481797359046,20
82,pretrained,100,4,0.3101481434390362,0.05364426126276773,20
82,pretrained,200,0,0.30196423838037056,0.061876263634191776,20
82,pretrained,200,1,0.2908223951404998,0.06316163832517332,20
82,pretrained,200,2,0.2935208854840094,0.06255415113884874,20
82,pretrained,200,3,0.28421619761406836,0.058389753964958484,20
82,pretrained,200,4,0.3003500898099397,0.05796286111717572,20
82,scratch,5,0,0.17455392308788395,0.08242820489611492,20
82,scratch,5,1,0.18298218013329332,0.08932553254082375,20
82,scratch,5,2,0.15716940200733034,0.07219332729580713,20
82,scratch,5,3,0.16052520823752708,0.08652135165874734,20
82,scratch,5,4,0.19610639368002017,0.07490027155876586,20
82,scratch,10,0,0.15143256871620908,0.08293693788605488,20
82,scratch,10,1,0.13745230951586654,0.07356083629362116,20
82,scratch,10,2,0.15874042342178724,0.06708864816117632,20
82,scratch,10,3,0.159680086535878,0.07319713199508768,20
82,scratch,10,4,0.18149729617851867,0.08113450439350943,20
82,scratch,20,0,0.15720538212478213,0.08084628205637814,20
82,scratch,20,1,0.16306527868812057,0.08071185933142,20
82,scratch,20,2,0.16783263211192617,0.07682679106478235,20
82,scratch,20,3,0.158115360779258,0.0715261316854786,20
82,scratch,20,4,0.15718356626468477,0.07250009833683352,20
82,scratch,50,0,0.13807002609021088,0.07188849894039087,20
82,scratch,50,1,0.157189963664445,0.07394314950036592,20
82,scratch,50,2,0.148761374307805,0.06373879210845873,20
82,scratch,50,3,0.16211495446467783,0.07284303960542371,20
82,scratch,50,4,0.16793857577921523,0.07885561193239675,20
82,scratch,100,0,0.15374845802355566,0.06846813642208342,20
82,scratch,100,1,0.14665348341368906,0.06431365825246464,20
82,scratch,100,2,0.1668200078372451,0.07142808410231836,20
82,scratch,100,3,0.1455017038456918,0.06696989643442927,20
82,scratch,100,4,0.15502584252059134,0.0692931415924218,20
82,scratch,200,0,0.14580264498625253,0.06483359023138771,20
82,scratch,200,1,0.1573780541581778,0.06250732602170136,20
82,scratch,200,2,0.15865613960252054,0.0740928604586938,20
82,scratch,200,3,0.15783408941838595,0.07076207272430256,20
82,scratch,200,4,0.1658094034999698,0.07697936116543745,20
83,pretrained,5,0,0.2927992611211962,0.06789306391581883,20
83,pretrained,5,1,0.3006954660087227,0.06036254087237949,20
83,pretrained,5,2,0.28628182469125285,0.06765312120879201,20
83,pretrained,5,3,0.2755004372650742,0.06730797134082993,20
83,pretrained,5,4,0.32177152732071923,0.07146625857270124,20
83,pretrained,10,0,0.2996883084092882,0.06863427907734652,20
83,pretrained,10,1,0.3192750170415393,0.06854431667344506,20
83,pretrained,10,2,0.30791223088994746,0.05887724355704971,20
83,pretrained,10,3,0.3033275670424106,0.06745073676973705,20
83,pretrained,10,4,0.3186686700090672,0.05670585853243163,20
83,pretrained,20,0,0.30320490742734424,0.059855104202309016,20
83,pretrained,20,1,0.31965278063402897,0.0668506563470734,20
83,pretrained,20,2,0.3131118178201376,0.06293168032717007,20
83,pretrained,20,3,0.30660471066391903,0.06091517359289857,20
83,pretrained,20,4,0.32542130442526224,0.06481915412554282,20
83,pretrained,50,0,0.30364558768737143,0.06184584657945092,20
83,pretrained,50,1,0.3047552798606393,0.06367300794350857,20
83,pretrained,50,2,0.3140580498365565,0.06270425390186675,20
83,pretrained,50,3,0.3049330922552093,0.06226415049972286,20
83,pretrained,50,4,0.3100368908971037,0.05825052727142749,20
